Parameter,Rute,pct_lavere,pct_hoyere
VFTTS,R1,-13.09291854463167,13.092918544631656
VFTTS,R2,-13.98019474655823,13.980194746558247
VFTTS,R3,-14.685710702965437,14.685710702965437
VFTTS,R4,-13.414453429492795,13.414453429492795
VFTTS,R5,-13.433969716519883,13.433969716519867
VFTTS,R6,-11.704686075720268,11.704686075720268
Ventetid (headway),R1,-5.397314052233924,5.423148205578145
Ventetid (headway),R2,-6.785498163807339,6.806253008795414
Ventetid (headway),R3,-8.295067329215916,8.310220326062112
Ventetid (headway),R4,-6.02540150224028,6.049958244842977
Ventetid (headway),R5,-3.514790489774375,3.5681423932047527
Ventetid (headway),R6,-3.4276846683925526,3.447156643056777
Terminalkost,R1,-0.5638280418520588,0.5638280418520588
Terminalkost,R2,-0.4183761513320893,0.4183761513320893
Terminalkost,R3,-0.36116003241935196,0.36116003241935196
Terminalkost,R4,-0.39447402261266973,0.39447402261266973
Terminalkost,R5,-0.2499107573593214,0.2499107573593214
Terminalkost,R6,-0.21210754364161002,0.21210754364161002
Rail punktlighet,R1,0.0394398948450768,-0.030566553712677014
Rail punktlighet,R2,0.020324276545727018,-0.015029818669283898
Rail punktlighet,R3,0.010517414015677486,-0.006938167838655567
Rail punktlighet,R4,0.03231336544337396,-0.024343285100650452
Rail punktlighet,R5,0.0,0.0
Rail punktlighet,R6,0.0,0.0
Veikostnad,R1,-0.06765936502224706,0.06765936502224706
Veikostnad,R2,0.0,0.0
Veikostnad,R3,0.0,0.0
Veikostnad,R4,0.0,0.0
Veikostnad,R5,-1.0706176845273365,1.0706176845273365
Veikostnad,R6,-6.79592569827717,6.79592569827717
